Sample V (Adsorption),,,,,,,,,Sample V (Desorption),,,,,,,,,Sample C (Adsorption),,,,,,,,,Sample C (Desorption),,,,,,,
Nominal Values,,,,,,,,,Nominal Values,,,,,,,,,Nominal Values,,,,,,,,,Nominal Values,,,,,,,
Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa)
0,1.50E-07,0.0011,2.038096562,1.020790534,0.059784572,0.021794998,0.036749154,,0,1.50E-07,0.0009,0.637286858,0,0.055368449,0.020608409,0.028264056,,0,1.50E-07,0.0007,4.55E-13,,0.054578503,,,,0,1.50E-07,0.0007,7.94E-05,,0.055916597,,
0,1.50E-07,0.0011,0.000181465,1.752836891,0.055635422,0.023371321,0.03251697,,0,1.50E-07,0.0009,0,8.27E-05,0.054783753,0.020519702,0.02742415,,0,1.50E-07,0.0008,0.000113841,4.98E-05,0.058041817,0.026617044,0.022552425,,0,1.50E-07,0.0007,0.562150238,,0.056162685,,
0,1.50E-07,0.0011,9.09E-13,3.41E-05,0.062977858,0.020364987,0.035824541,,0,1.50E-07,0.0009,0,4.34E-05,0.054203305,0.020337454,0.027086699,,0,1.50E-07,0.0008,0.000204582,,0.065256807,,,,0,1.50E-07,0.0006,0,2.96E-05,0.055404251,0.026197783,0.020473874
0,1.50E-07,0.0011,0,0,0.062955066,0.02032374,0.035856746,,,,,,,,,,,0,1.50E-07,0.0008,0.000320513,2.18E-05,0.065713229,0.028988877,0.027061394,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Sample V (Desorption),,,,,,,,,Sample C (Adsorption),,,,,,,,,Sample C (Desorption),,,,,,,
,,,,,,,,,Nominal Values,,,,,,,,,Nominal Values,,,,,,,,,Nominal Values,,,,,,,
,,,,,,,,,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa),,Relative Pressure,Mass (kg),Relative Adsorption (g_w / g),P_Speed (m/s),S_Speed (m/s),Longitudinal Modulus (GPa),Shear Modulus (GPa),Bulk Modulus (GPa)
,,,,,,,,,0.99,0.001402,0.2338,3372.423376,1916.145843,19.82262417,6.399323828,11.2901924,,0.12,0.001668,0.0321,3294.969653,2057.032675,16.81645775,6.554115085,8.077637639,,0.98,0.002008,0.2427,3303.569663,1890.594171,20.35312796,6.665931609,11.46521914
,,,,,,,,,0.93,0.001396,0.2285,3370.633201,1916.724233,19.71542971,6.37532789,11.21499252,,0.45,0.00171,0.0581,3281.545163,2051.373006,17.09970105,6.682223833,8.190069273,,0.93,0.002001,0.2382,3298.649721,1892.193152,20.2197988,6.653273255,11.34876779
,,,,,,,,,0.88,0.001393,0.2258,3353.189365,1917.534787,19.46995958,6.367007961,10.98061563,,0.75,0.001788,0.1064,3198.615255,2004.954573,16.98835969,6.6747732,8.088662092,,0.88,0.001995,0.2346,3281.545163,1894.696442,19.95265117,6.651553947,11.08391258
,,,,,,,,,0.86,0.001392,0.225,3345.768513,1918.461749,19.37135349,6.369047322,10.87929039,,0.84,0.001887,0.1679,3104.469236,1975.74009,16.89263185,6.841986625,7.769983015,,0.86,0.001992,0.2323,3279.925487,1894.696442,19.8949981,6.638886226,11.04314979
,,,,,,,,,0.84,0.001398,0.2301,3340.488253,1918.461673,19.39071777,6.395584514,10.86327175,,0.88,0.001975,0.2221,3130.807267,1898.21717,17.97692483,6.60837274,9.165761181,,0.84,0.001987,0.2297,3277.902735,1888.599779,19.82856082,6.582319183,11.05213524
,,,,,,,,,0.81,0.001385,0.2189,3340.48822,1918.461639,19.2131518,6.337018339,10.76379401,,0.98,0.002008,0.2427,3303.569663,1890.594171,20.35312796,6.665931609,11.46521914,,0.81,0.001984,0.2276,3275.479118,1889.39824,19.76637243,6.576946617,10.99711027
,,,,,,,,,0.77,0.001378,0.2124,3336.977318,1919.621568,19.07034697,6.310784167,10.65596808,,,,,,,,,,,0.77,0.001977,0.2231,3270.642442,1895.49911,19.63552576,6.595133147,10.8420149
,,,,,,,,,0.75,0.001377,0.2121,3293.705245,1928.75641,18.57492041,6.369601518,10.08211839,,,,,,,,,,,0.75,0.001958,0.2119,3262.212645,1894.999421,19.35457973,6.53096528,10.64662602
,,,,,,,,,0.58,0.001223,0.0767,3436.290573,2062.397905,17.96026277,6.469606145,9.334121243,,,,,,,,,,,0.58,0.001733,0.0724,3275.479835,2037.364659,17.26669106,6.680312752,8.359607391
,,,,,,,,,0.45,0.001205,0.0602,3399.749578,2079.921389,17.31018538,6.480519777,9.574910168,,,,,,,,,,,0.12,0.001673,0.0351,3323.397454,2057.032675,17.15813904,6.57336878,8.393647333
,,,,,,,,,0.12,0.001183,0.0407,3406.785214,2102.823081,17.06303703,6.50308105,8.396702438,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Uncertainty (1 stdev),,,,,,,,,Uncertainty (1 stdev),,,,,,,
